#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68687,2.56386,0.406935
1.68687,2.67804,0.646923
1.68687,2.8401,0.690557
1.68687,2.8843,0.505112
1.68687,2.96165,0.570563
1.68687,3.00217,0.796006
1.68687,3.00585,2.42501
1.68687,2.9285,3.22497
1.68687,2.59701,2.49774
1.68687,2.43862,2.81408
1.68687,2.31339,3.09407
1.68687,2.18079,2.87953
1.68687,2.04083,2.88317
1.68687,1.99295,3.01771
1.68687,1.90455,2.95589
1.68687,1.83825,2.75954
1.68687,1.81983,1.09781
1.68687,1.89718,0.261488
1.68687,2.26919,1.05781
1.68687,2.45336,0.752372
1.68687,2.56017,0.42148
1.68687,2.68172,0.654195
1.68687,2.85115,0.683284
1.68687,2.8843,0.512384
1.68687,2.9506,0.570563
1.68687,3.0169,0.796006
1.68687,3.00217,2.43592
1.68687,2.91377,3.19588
1.68687,2.58596,2.49046
1.68687,2.44967,2.84681
1.68687,2.33181,3.0868
1.68687,2.18448,2.87953
1.68687,2.04451,2.89771
1.68687,1.9819,3.03225
1.68687,1.89718,2.95953
1.68687,1.8493,2.78136
1.68687,1.83825,1.09781
1.68687,1.91191,0.261488
1.68687,2.26551,1.07236
1.68687,2.44599,0.756008
1.68687,2.56754,0.425116
1.68687,2.68909,0.654195
1.68687,2.8622,0.66874
1.68687,2.8843,0.526929
1.68687,2.95797,0.563291
1.68687,3.00585,0.799642
1.68687,3.01322,2.44319
1.68687,2.94324,3.21043
1.68687,2.58964,2.48319
1.68687,2.43494,2.82499
1.68687,2.32076,3.09407
1.68687,2.20289,2.89408
1.68687,2.03346,2.90499
1.68687,1.9819,3.02498
1.68687,1.90086,2.94135
1.68687,1.85298,2.78863
1.68687,1.83457,1.09781
1.68687,1.91928,0.276033
1.68687,2.27288,1.06508
1.68687,2.45704,0.741463
1.68687,2.57122,0.436024
1.68687,2.68541,0.636014
1.68687,2.84747,0.672376
1.68687,2.87694,0.508748
1.68687,2.96534,0.585108
1.68687,3.00585,0.774189
1.68687,3.02427,2.44683
1.68687,2.94324,3.20679
1.68687,2.57491,2.50137
1.68687,2.44599,2.84317
1.68687,2.30603,3.09043
1.68687,2.19184,2.88681
1.68687,2.04083,2.86863
1.68687,2.00031,3.02134
1.68687,1.88613,2.95953
1.68687,1.86035,2.75954
1.68687,1.81247,1.10508
1.68687,1.90823,0.265124
1.68688,2.25446,1.06508
1.68688,2.44599,0.737827
1.68688,2.54544,0.425116
1.68688,2.68909,0.657831
1.68688,2.85115,0.686921
1.68688,2.89167,0.51602
1.68688,2.9727,0.574199
1.68688,2.99112,0.803278
1.68688,3.0169,2.44319
1.68688,2.91745,3.20679
1.68688,2.57859,2.49774
1.68688,2.45704,2.85408
1.68688,2.31708,3.09043
1.68688,2.18816,2.89408
1.68688,2.01873,2.89044
1.68688,1.99663,3.01044
